ParticipantID,NumberOfRecordings,HoursRecorded
02581754-36cd-4b23-85ea-bf995c6dec83,7351,40.83888889
0271c478-a56a-4c09-ab91-9743184dd71b,8585,47.69444444
02b7a595-6508-46bd-8239-6deb433d6290,7591,42.17222222
05dedb61-63bc-44e3-8e28-a5d32d91f7e9,15706,87.25555556
06b33ec4-706d-462f-a681-05491be38eb3,6519,36.21666667
0a85fd46-fada-434c-9f7a-08b81f9ed8e7,4754,26.41111111
0adb7679-9d26-46e7-a134-11da293910f3,7649,42.49444444
0b45e9c1-eba5-46d3-b0a4-cdb5aa4dc736,7605,42.25
0bf54591-e0ac-47ba-9b43-31ff54dfcee8,11054,61.41111111
0e33f78a-7064-44ff-a8a4-711f99113d39,7086,39.36666667
0e615090-ca26-4635-9590-f6e6cde1094f,8724,48.46666667
0ebe238f-34a9-47f5-a04b-5b059e45e4a5,5020,27.88888889
0ec84778-1a98-4cd7-aa11-05997ddadd52,23251,129.1722222
113be918-e2d0-443c-830d-fd0964042b9d,893,4.961111111
11ee71b5-e66b-4da3-8458-fc4db17d875a,10619,58.99444444
132c620a-fa7c-4f95-8dbf-9edc6f973336,8893,49.40555556
13c66354-c2ce-4471-974d-0fd776a8a1bb,14641,81.33888889
14121de2-f38e-4906-9fbe-b613549623fd,12694,70.52222222
14eb688e-385b-4d6c-8cc1-0d51d89f4b2a,5442,30.23333333
1586a0ff-0e95-4b1d-a2bd-97863a02811b,1094,6.077777778
16213162-1d73-4155-8103-fa668f1579b6,8442,46.9
18159216-429a-4921-ab5f-7e751b5fdaad,19284,107.1333333
19097e81-ae0b-4ef1-b5aa-84350c2feeb9,16281,90.45
1b1bcdb5-00eb-4a8c-8c05-a70d678ca0f8,157,0.872222222
1d356286-db62-4eaa-a4ef-3ba004e06843,15061,83.67222222
20aa0d7b-c28d-43f1-a79c-c77a671b9d05,7832,43.51111111
218a0ad7-4922-4c84-a41f-1b7abbfb72f7,8755,48.63888889
21e4864a-7534-467b-9b55-2ec244a98037,3012,16.73333333
235be35e-4e50-4996-80d7-ce701d2dca4b,4692,26.06666667
23a4808f-4429-41d7-adcf-c96742871613,7298,40.54444444
24166136-6ee3-4521-abaf-972fbe83d15d,2761,15.33888889
29d662a9-f454-4261-8d58-f208c07cfd20,12360,68.66666667
29e729f1-575c-4627-bf5a-e7bc28fdda26,2532,14.06666667
2a3ed8d1-f62c-42b5-8efe-44f6a61cd6b4,8422,46.78888889
2a8f6d94-88d4-4d72-b304-782563903dca,9160,50.88888889
2aae82c5-03f9-42dd-974d-88230a9b75f7,3203,17.79444444
2b0a7c5a-98f9-4512-a297-3ae27e805b71,11812,65.62222222
2db06051-769a-4daa-8e8e-3d3e6f9c5a17,4779,26.55
2ec7547d-bd0a-4fbf-92a8-3a4e747a53f9,11545,64.13888889
300a4242-7c38-4d7a-8911-2914ef452ab3,2963,16.46111111
30141090-2743-49fb-94e0-25bfa783bcfd,12277,68.20555556
